Fecha,Precio_Apertura,Precio_Máximo,Precio_Mínimo,Precio_Cierre,Volumen,Variabilidad,Precio_Promedio
31/12/2015,426.0,433.0,419.0,431.0,45996600,5.0,1
1/01/2016,431.0,436.0,428.0,434.0,36278900,3.0,1
2/01/2016,435.0,436.0,432.0,433.0,30096600,-2.0,0
3/01/2016,434.0,434.0,425.0,430.0,39633800,-4.0,0
4/01/2016,430.0,435.0,429.0,433.0,38477500,3.0,1
5/01/2016,433.0,434.0,430.0,432.0,34522600,-1.0,0
6/01/2016,432.0,432.0,426.0,429.0,34042500,-3.0,0
7/01/2016,430.0,459.0,429.0,458.0,87562200,28.0,1
8/01/2016,458.0,463.0,448.0,453.0,56993000,-5.0,0
9/01/2016,453.0,455.0,447.0,448.0,32278000,-5.0,0
10/01/2016,448.0,448.0,440.0,448.0,35995900,0.0,0
11/01/2016,449.0,451.0,444.0,448.0,40450000,-1.0,0
12/01/2016,448.0,448.0,436.0,436.0,115607000,-12.0,0
13/01/2016,435.0,435.0,424.0,432.0,173888000,-3.0,0
14/01/2016,432.0,433.0,428.0,430.0,43945500,-2.0,0
15/01/2016,430.0,430.0,364.0,364.0,153351008,-66.0,0
16/01/2016,365.0,391.0,355.0,388.0,120352000,23.0,1
17/01/2016,387.0,391.0,380.0,382.0,45319600,-5.0,0
18/01/2016,382.0,388.0,377.0,387.0,54403900,5.0,1
19/01/2016,387.0,388.0,379.0,380.0,46819800,-7.0,0
20/01/2016,380.0,425.0,377.0,420.0,121720000,40.0,1
21/01/2016,420.0,423.0,406.0,410.0,68338000,-10.0,0
22/01/2016,410.0,410.0,375.0,382.0,91546600,-28.0,0
23/01/2016,382.0,395.0,382.0,387.0,56247400,5.0,1
24/01/2016,388.0,405.0,388.0,403.0,54824800,15.0,1
25/01/2016,402.0,402.0,389.0,392.0,59062400,-10.0,0
26/01/2016,392.0,398.0,391.0,392.0,58147000,0.0,0
27/01/2016,392.0,397.0,392.0,395.0,47424400,3.0,1
28/01/2016,395.0,396.0,380.0,380.0,59247900,-15.0,0
29/01/2016,380.0,384.0,365.0,379.0,86125296,-1.0,0
30/01/2016,379.0,381.0,376.0,378.0,30284400,-1.0,0
31/01/2016,378.0,380.0,368.0,369.0,37894300,-9.0,0
1/02/2016,369.0,378.0,368.0,373.0,51656700,4.0,1
2/02/2016,373.0,376.0,373.0,374.0,40378700,1.0,1
3/02/2016,375.0,375.0,368.0,370.0,45933400,-5.0,0
4/02/2016,370.0,392.0,370.0,390.0,69285504,20.0,1
5/02/2016,389.0,391.0,386.0,387.0,43825000,-2.0,0
6/02/2016,387.0,387.0,372.0,377.0,49249300,-10.0,0
7/02/2016,377.0,381.0,375.0,377.0,37076300,0.0,0
8/02/2016,377.0,380.0,373.0,373.0,47671100,-4.0,0
9/02/2016,373.0,377.0,373.0,376.0,55318500,3.0,1
10/02/2016,376.0,385.0,376.0,382.0,85130896,6.0,1
11/02/2016,382.0,383.0,376.0,380.0,74375600,-2.0,0
12/02/2016,380.0,385.0,380.0,384.0,67042800,4.0,1
13/02/2016,385.0,392.0,385.0,392.0,61911700,7.0,1
14/02/2016,393.0,407.0,393.0,407.0,74469800,14.0,1
15/02/2016,408.0,410.0,398.0,400.0,74070496,-8.0,0
16/02/2016,401.0,409.0,401.0,407.0,73093104,6.0,1
17/02/2016,408.0,421.0,407.0,416.0,83193600,8.0,1
18/02/2016,417.0,426.0,416.0,422.0,76752600,5.0,1
19/02/2016,423.0,423.0,418.0,421.0,55711300,-2.0,0
